State,Year,Deaths,Population,crudemort_rate,Mort_rate
Nevada,2008,19335,2653630,728.62,0.728624563
New Hampshire,2008,10268,1315906,780.3,0.780298897
New Jersey,2008,70026,8711090,803.87,0.803871846
New Mexico,2008,16005,2010662,796.01,0.796006489
New York,2008,148698,19212436,773.97,0.773967445
North Carolina,2008,77283,9309449,830.16,0.830156543
North Dakota,2008,5871,657569,892.83,0.89283406
Ohio,2008,109767,11515391,953.22,0.953219912
Oklahoma,2008,37014,3668976,1008.84,1.008837343
Oregon,2008,31967,3768748,848.21,0.848212722
Pennsylvania,2008,127462,12612285,1010.62,1.010617822
Rhode Island,2008,9738,1055003,923.03,0.923030551
South Carolina,2008,40289,4528996,889.58,0.889579059
South Dakota,2008,7083,799124,886.35,0.886345548
Tennessee,2008,58820,6247411,941.51,0.941510011
Texas,2008,164914,24309039,678.41,0.678406086
Utah,2008,14040,2663029,527.22,0.527219193
Vermont,2008,5211,624151,834.89,0.83489412
Virginia,2008,59100,7833496,754.45,0.754452418
Washington,2008,48627,6562231,741.01,0.741013232
West Virginia,2008,21557,1840310,1171.38,1.171378735
Wisconsin,2008,46815,5640996,829.91,0.829906634
Wyoming,2008,4227,546043,774.11,0.774114859
Alabama,2009,47470,4757938,997.7,0.997701105
Alaska,2009,3618,698895,517.67,0.517674329
Arizona,2009,45816,6343154,722.29,0.72229052
Arkansas,2009,28673,2896843,989.8,0.989801656
California,2009,232736,36961229,629.68,0.629676032
Colorado,2009,31173,4972195,626.95,0.626946449
Connecticut,2009,28585,3561807,802.54,0.80254208
Delaware,2009,7534,891730,844.87,0.84487457
District of Columbia,2009,4834,592228,816.24,0.816239691
Florida,2009,169924,18652644,910.99,0.910991493
Georgia,2009,69712,9620846,724.59,0.724593243
Hawaii,2009,9914,1346717,736.16,0.736160604
Idaho,2009,11098,1554439,713.96,0.713955324
Illinois,2009,100056,12796778,781.88,0.781884315
Indiana,2009,55973,6459325,866.55,0.866545653
Iowa,2009,27544,3032870,908.18,0.908182678
Kansas,2009,24024,2832704,848.09,0.848094259
Kentucky,2009,41380,4317074,958.52,0.95851959
Louisiana,2009,40282,4491648,896.82,0.896820054
Maine,2009,12594,1329590,947.21,0.94720929
Maryland,2009,43843,5730388,765.1,0.765096534
Massachusetts,2009,52308,6517613,802.56,0.802563761
Michigan,2009,86455,9901591,873.14,0.873142508
Minnesota,2009,37851,5281203,716.71,0.716711704
Mississippi,2009,28275,2958774,955.63,0.955632299
